userName,score,content,at,thumbsUpCount
Daljeet Singh,1,"The reason behind giving 1 star is, their return policy, if a customer orders the wrong item, they don't return or replace, they straight away say we can't return, you should replace the item.",2026-07-23 11:19:50,0
Sarika Chaturvedi,5,Exellent service and Customer support quick response👌😀,2026-07-23 11:17:12,1
Jaidev Jamdagni,1,Kisi Bhi time No Return Policy bol dete hai Or No exchange bhi bol rahe hai install mat karo aapna khud leke aao ja kar,2026-07-23 11:16:40,0
Prashanth. Sundaramoorthy,5,very good and experience with your work,2026-07-23 11:14:03,0
Durgesh Kumar Mishra,5,Excellent service.,2026-07-23 11:08:35,0
Aarju Singh,5,thanks for best servicing 👍,2026-07-23 11:05:40,0
Sufi. Sk,5,Bestest app ever,2026-07-23 11:04:06,0
anup verma,4,Good facilities,2026-07-23 11:03:16,0
jai kumar,5,very gud nd gud experience,2026-07-23 11:02:01,0
Nisha Sodhi,5,very good experience of my,2026-07-23 10:59:13,0
Rameshkumar Dhuriya,5,bahut achcha 10,2026-07-23 10:49:34,0
Puja Dey,1,delivery person behaviour not good,2026-07-23 10:45:09,0
Prity Singh,5,very good service,2026-07-23 10:43:17,0
Satyam navin kumar Jha,1,"one of the poorest service, I had found & additional they take charge for cancellation even after getting 30 minutes late if you cancel.",2026-07-23 10:40:37,0
Trinkale Gupta,5,nice perfact 💕💕💕💕💕💕,2026-07-23 10:35:38,0
Aditya Sohani,5,"Excellent and fast delivery, love it",2026-07-23 10:34:39,0
Mallika Thakur,5,nice experience with fast delivery 🚚,2026-07-23 10:34:35,0
Kalyani Talvelkar,5,fantastic service. Support staff is great too. quick yo respond and polite,2026-07-23 10:34:23,1
H SJ,5,provide the best service..,2026-07-23 10:33:26,0
Anas Shaikh,5,nice app fast service,2026-07-23 10:31:04,0
Monu Prajapati,1,🤛 aadha ghante se upar Ho Gaya fir bhi 11 minute dikha raha hai,2026-07-23 10:30:35,1
TRADING_ IQ,5,better then amazon flipcart mesho,2026-07-23 10:27:07,0
simpy Bhatia,1,they are selling poor quality products...if you ask for an exchange or refund they will close the chat conversation..waste app,2026-07-23 10:25:36,0
Sunil Borse,5,very nice sincerely work,2026-07-23 10:24:03,0
Ariez Tata,5,absolutely fantastic and efficient,2026-07-23 10:23:09,0
Pooja Singh,5,excellent service,2026-07-23 10:22:51,0
BISWAJIT ROY,2,only Cash on delivery option are open to plase order,2026-07-23 10:21:49,0
Priyanshu Verma,5,it very useful I love it,2026-07-23 10:18:19,0
blessypn 1630,4,Some products are not available,2026-07-23 10:14:48,0
Yatin Aggarwal,1,Old purana metrial supply karte ye log,2026-07-23 10:04:44,0
Harsh_ Bot-yt,4,such a great app,2026-07-23 10:04:32,0
ANANYA GANGULY,1,I returned an order as it was damaged They took the parcel the same day and I was supposed to get my money back but I did not get my money and the assistant chat is the worst part does not allow you to text anything of no use,2026-07-23 10:03:48,0
Daksh Chordiya,5,"TOTALLY, the best guys out there. keep it up #blinkit",2026-07-23 10:01:52,0
Aashu Verma,4,sach a good application 👍,2026-07-23 09:52:08,0
Agastya Kumar Singh,1,they will say 10 min and this 10 min will be for hours,2026-07-23 09:50:40,0
Sony Thakur,5,it is best for all 😊🙏,2026-07-23 09:50:09,0
Google TV,5,very nice! fast service!,2026-07-23 09:50:07,0
Atharv Raj,4,For the after delivery service and prompt action adhered.,2026-07-23 09:46:25,0
Pragya Prakash (Advik),5,ghar baithe saman mil raha hai aaj kal k baag dour wali life me,2026-07-23 09:42:41,0
gagan deep,5,great my emergency burden is just flew away since this service starts in our city,2026-07-23 09:41:13,0
Khushboo Jha,4,very good app..,2026-07-23 09:40:15,0
Priyanka Singh f,5,"it's a good site,but please give more discounts like pune",2026-07-23 09:39:22,0
