reviewer,review_title,review,rating,review_date,app_version,country,source,app_id,is_edited,developer_response
Jeet_dgp14,The worst app Never trust them,If you think you will get product delivered in 10mins you are wrong you would be harrased for more than 1 hours and no customer service and no resolution at all and at last cancellation of orders and refunds after 6days,1,2026-07-19T12:13:29-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Suryansh Sondhi,Ambulance,"Free Ambulance service by blinkit deserves a big round of applause, thank you blinkit for this service",5,2026-07-19T11:32:31-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Physio 24,Important: Verify the Weight of Meat Ordered Online,"Just a heads-up for everyone ordering chicken from Blinkit.

Today I ordered a 450 g pack of Godrej boneless chicken. I usually don’t check the weight, but this time I was making a recipe that required exactly 450 g, so I placed it on my kitchen weighing scale.

To my surprise, the pack weighed only 380 g, not 450 g.

I contacted Blinkit, and they promptly refunded me for the shortfall, which I appreciate. However, that’s not really the point. Most customers don’t weigh their groceries every time they receive an order, so discrepancies like this can easily go unnoticed.

My suggestion to everyone is to check the weight of chicken, fish, or any other items sold by weight whenever possible. Hopefully, this was just an isolated packing error, but it’s worth being aware of.",5,2026-07-19T11:27:40-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Hutssdg,Complain,"To much charges 
My order worth only 120 rs but I have to 190 
In my city there are no offers like big cities",1,2026-07-19T11:08:44-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Dr. Andrei,Terrible Customer service,Takes hours to resolve one simple issue,1,2026-07-19T10:45:37-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Samylal,Delivery charge,Delivery charge is too high and payment gateway unreliable,5,2026-07-19T09:33:45-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
RDX Sandy,Good app,Very comfortable,5,2026-07-19T09:01:36-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Yukar kamane,Bad,While ordering coke its mentioned that it is chilled but when arrrive it always warm it been 3-4 time now so untrustworthy,1,2026-07-19T08:45:10-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Kriti tu,Fraud,U guys r doing fraud these days mera ek mil expired hua no refund mera ek Oder missing hai but u guys r not giving Any solution it’s almost one month now and n keep putting mails but no solution,1,2026-07-19T08:16:08-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Rencia_01,Good app,Faster then Swiggy y’all *no hate for swiggy*,5,2026-07-19T08:14:19-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
AnonymousMtrustedsources🍉🩰,yummm,Person delivering was soo sweet!also food came safely and cleanly,5,2026-07-19T08:07:52-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Martin s samuel,What amazing app?,"Thank you, Blinkit, for making our life easier",5,2026-07-19T08:06:04-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Neaky bishnoi,Ruin surge extra payment,There is no rain and they are making extra charge for rain surge,1,2026-07-19T07:37:28-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Ahsn263!:?@/,Arisha Fatima,"“I placed an order yesterday and had already completed the payment. However, the customer care representative asked me to make the payment again, assuring me that the previous payment would be refunded within six hours. It has now been over 24 hours, and I still haven’t received the refund. I am very disappointed with this experience.”",1,2026-07-19T07:24:23-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Kamalith Singh,Best option,By using Blinkit our time gets saved and thanks to the created of this app.,5,2026-07-19T07:16:10-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Nammu pandey,For blinkit service,Good service in less time organic products,5,2026-07-19T07:10:01-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Anas2shaikh,Excellent service,Excellent service,5,2026-07-19T07:09:22-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Himanshi dhote,Experience,Always had a great experience with blinkitt,5,2026-07-19T07:08:23-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Akshith k.a,The delivery charge is high,Delivery high charge,4,2026-07-19T07:01:48-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Ananya Chatterjee Sinha,Cheated by sending expired product,I have ordered baking powered yesterday. They sent of a baki g powder which was expired. They made that box dirty with a paint kind of thing on the manufacturing and expiry date. I will soon switch to big basket . Not expected this kind of cheating.,1,2026-07-19T06:32:33-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Chandru mulge,Product prices high,High quality products,4,2026-07-19T06:26:52-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Mukesh_008,Very convenient.,Very convenient.,5,2026-07-19T06:22:36-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Rashidvora,Best,Fast reliable fair price lot of options,5,2026-07-19T06:18:43-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Ira Ben,Order review,I have been using Blinkit since the very first day in my city but I never get back my change as they say they don’t have money to give change if it’s 100 rupees 50 rupees or 80 rupees to return they never return money as change,1,2026-07-19T06:12:57-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Upasals,No discounts,"When compare to others, is not much difference in discount",2,2026-07-19T06:06:23-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Manviiiiijiiiiiii,Worst delivery,Sabse Tatti delivery service chiiiii bhyiiiii delivery walo ko kuch Samjh toh aata nahi,1,2026-07-19T05:11:52-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Sudha rasaranjan,Double payment,Takes payment and suddenly cancel but no refunds,1,2026-07-19T04:51:54-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Nansi baliayn,Useless app,Useless application. Useless customer service,1,2026-07-19T04:45:57-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Mbappe12345₹,For,I ordered organic grown tomatoes with extra premium amount but I got regular one..,4,2026-07-19T04:33:48-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
moni malva,Best,Jo kahi nahi milta wo Blinkit pe milta hai. Thank you so much.,5,2026-07-19T04:08:11-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Dikshu patil,Good aap,Nice experience,5,2026-07-19T03:35:40-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Kartik2346,Good experience,"All the products are delivered very safely 
The process also very convenient and fast",5,2026-07-19T03:34:25-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Beekay 1177,Rude delivery guy,Rude and disrespectful delivery guy,1,2026-07-19T03:23:51-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
nick name vicky,High packaging charges,"Worst experience with their customer service and @Blinkit Team if you guys want your sales to increase then remove unwanted package charges 
So give free delivery along with the free package charges like how zepto and amazon now is giving for orders above 99/-₹",1,2026-07-19T03:17:36-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Kridhakrish,Delivery charge,Why delivery charges. Not required,4,2026-07-19T01:20:28-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Dhrj229,Extra handling charge always,"App features are good, handling charge 12 gets added.",4,2026-07-19T01:19:25-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Jrkg65873,Damaged products sent,They send me damaged products 3 times and did not take accountability,1,2026-07-19T01:12:59-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Pv_Singh,This app is not reliable,If you face any issue in any product they will say drop mail and in mail you will recieve automated mails which have ZERO IQ. Intentionally they make issue resolution so complex AI help se customer  ko frustrate kr rhe h ( deleting app),1,2026-07-19T01:02:04-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
deepakalgae,Superb app,Really it’s a last minute app. Best for groceries and other requirements instantly. Suppose you are in kitchen and missing something then just Blinkit and you will get it in 10 minutes. 👍,5,2026-07-19T01:01:36-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Shettall,Expensive,"Bill not showing
Delivery charges high",1,2026-07-19T00:42:46-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Worst nil customer care,Good customer support,Very responsive customer support,5,2026-07-19T00:17:22-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Dhoka Hua,Printout order cancelled with lame reason,My printout order which was supposed to be delivered in 26 minutes was cancelled when I called the customer support who told me that there is some operational issue and then it was cancelled after almost 1 hour after the order was placed.,1,2026-07-19T00:05:56-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
lalitlogical,Quick and simply amazing,This my quick and last minute helping application to order stuffs.,5,2026-07-18T23:53:40-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Sar@nsh,Best,Best fir electronics shopping,5,2026-07-18T23:05:18-07:00,18.69.0,IN,App Store (RSS fallback),960335206,,
Rinku 94264,Hanumangarh,Best service in Hanumangarh,5,2026-07-18T23:00:24-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
Excellent Serviceeee,Excellent,Excellent Interface and Products are best,5,2026-07-18T22:32:26-07:00,18.70.0,IN,App Store (RSS fallback),960335206,,
